,Provider,Games for Provider
0,Eyecon,142
1,Pragmatic Play,541
2,Reel Kingdom,47
3,Slingo Originals,85
4,NetEnt,402
5,Play'n Go,355
6,Evolution Gaming,186
7,Blueprint,322
8,Red Tiger,293
9,Inspired Gaming,217
10,Light and Wonder,175
11,Games Global,547
12,Big Time Gaming,78
13,Fortune Factory Studios,18
14,Gameburger Studios,41
15,Playtech Origins,117
16,Hacksaw Gaming,134
17,Wazdan,186
18,Reel Time Gaming,48
19,Playtech,675
20,Barcrest,80
21,JustForTheWin,64
22,Triple Edge Studios,34
23,Relax Gaming,126
24,Slingshot Studios,15
25,Area Vegas,5
26,Rarestone Gaming,62
27,All For One Studios,36
28,Neon Valley Studios,11
29,Playson,162
30,Neko Games,12
31,PearFiction,14
32,Alchemy Gaming,16
33,IGT,293
34,Nolimit City,88
35,ELK Studios,93
36,Greentube,453
37,RTG,262
38,Playtech Vikings,24
39,Push Gaming,59
40,Wizard Games,148
41,Roxor Gaming,65
42,SpinPlay Games,35
43,Iron Dog Studio,128
44,Real Dealer Studios,35
45,Quickspin,120
46,Snowborn Games,19
47,OneTouch,102
48,Aurum Signature Studios,54
49,Gold Coin Studios,25
50,Northern Lights Gaming,28
51,Spinomenal,516
52,4ThePlayer,254
53,Switch Studios,42
54,1X2gaming,18512
55,CR Games,37
56,Print Studios,14
57,Reel Play,43
58,Yggdrasil,140
59,Gamesys,67
60,CORE Gaming,79
61,Fantasma Games,40
62,Ash Gaming,62
63,RAW iGaming,23
64,StakeLogic,221
65,Skywind Group,309
66,Thunderkick,74
67,Stormcraft Studios,15
